Day,Time,Intensity
2014/06/18,17:18:34.446,0.00
2014/06/18,17:18:34.556,1408.74853
2014/06/18,17:18:34.666,1496.75351
2014/06/18,17:18:34.776,1392.71519
2014/06/18,17:18:34.886,1505.03492
2014/06/18,17:18:34.996,1270.0551
2014/06/18,17:18:35.106,1251.78005
2014/06/18,17:18:35.216,1317.20658
2014/06/18,17:18:35.316,1201.60181
2014/06/18,17:18:35.426,1244.38186
2014/06/18,17:18:35.536,1353.68299
2014/06/18,17:18:35.646,1484.7873
2014/06/18,17:18:35.756,1194.64853
2014/06/18,17:18:35.866,1446.48889
2014/06/18,17:18:35.976,1386.29365
2014/06/18,17:18:36.086,1329.79002
2014/06/18,17:18:36.196,1427.29887
2014/06/18,17:18:36.306,1255.6068
2014/06/18,17:18:36.416,1270.49433
2014/06/18,17:18:36.526,1377.51791
2014/06/18,17:18:36.626,1289.98481
2014/06/18,17:18:36.736,1205.50771
2014/06/18,17:18:36.886,1469.46803
2014/06/18,17:18:36.986,1543.47732
2014/06/18,17:18:37.096,1488.51723
2014/06/18,17:18:37.226,1483.07755
2014/06/18,17:18:37.336,1542.15488
2014/06/18,17:18:37.446,1386.63821
2014/06/18,17:18:37.556,1775.19274
2014/06/18,17:18:37.656,1430.54263
2014/06/18,17:18:37.766,1542.79365
2014/06/18,17:18:37.876,1328.78299
2014/06/18,17:18:37.986,1375.39229
2014/06/18,17:18:38.096,1483.05828
2014/06/18,17:18:38.206,1508.32109
2014/06/18,17:18:38.316,1437.35828
2014/06/18,17:18:38.426,2137.12313
2014/06/18,17:18:38.536,1436.16417
2014/06/18,17:18:38.646,1445.68821
2014/06/18,17:18:38.756,1317.34127
2014/06/18,17:18:38.866,1309.64399
2014/06/18,17:18:38.966,1420.54739
2014/06/18,17:18:39.076,1304.47846
2014/06/18,17:18:39.186,1223.11338
2014/06/18,17:18:39.296,1406.85714
2014/06/18,17:18:39.406,1374.77891
2014/06/18,17:18:39.516,1433.53379
2014/06/18,17:18:39.626,1429.15578
2014/06/18,17:18:39.736,1415.28957
2014/06/18,17:18:39.846,1452.56463
2014/06/18,17:18:39.956,1305.80726
2014/06/18,17:18:40.066,1317.26553
2014/06/18,17:18:40.176,1461.31633
2014/06/18,17:18:40.286,1339.56463
2014/06/18,17:18:40.516,1432.9093
2014/06/18,17:18:40.626,1385.38821
2014/06/18,17:18:40.736,1234.8068
2014/06/18,17:18:40.846,1496.86769
2014/06/18,17:18:40.956,1433.21905
2014/06/18,17:18:41.066,1462.92472
2014/06/18,17:18:41.166,1808.5381
2014/06/18,17:18:41.276,1533.08209
2014/06/18,17:18:41.386,1543.33039
2014/06/18,17:18:41.496,1717.44762
2014/06/18,17:18:41.606,1873.70204
2014/06/18,17:18:41.716,1482.88526
2014/06/18,17:18:41.826,1351.33787
2014/06/18,17:18:41.936,1445.18141
2014/06/18,17:18:42.046,1573.06848
2014/06/18,17:18:42.156,1380.90748
2014/06/18,17:18:42.266,1514.07415
2014/06/18,17:18:42.376,1526.52925
2014/06/18,17:18:42.476,1427.722
2014/06/18,17:18:42.586,1415.039
2014/06/18,17:18:42.696,1451.97392
2014/06/18,17:18:42.806,1440.06848
2014/06/18,17:18:42.916,1398.66349
2014/06/18,17:18:43.026,1591.34603
2014/06/18,17:18:43.136,1662.74853
2014/06/18,17:18:43.246,1539.72993
2014/06/18,17:18:43.356,1541.63628
2014/06/18,17:18:43.466,1409.60612
2014/06/18,17:18:43.576,1548.37256
2014/06/18,17:18:43.686,1546.42698
2014/06/18,17:18:43.796,1467.88776
2014/06/18,17:18:43.896,1559.99569
2014/06/18,17:18:44.006,4977.84853
2014/06/18,17:18:44.116,11300.24444
2014/06/18,17:18:44.226,9215.4712
2014/06/18,17:18:44.336,13373.62358
2014/06/18,17:18:44.446,4595.67914
2014/06/18,17:18:44.556,1575.12177
2014/06/18,17:18:44.666,1379.77256
2014/06/18,17:18:44.776,1509.56803
2014/06/18,17:18:44.886,9320.91927
2014/06/18,17:18:44.996,8874.54535
2014/06/18,17:18:45.106,5741.5746
2014/06/18,17:18:45.206,3725.72336
2014/06/18,17:18:45.316,6576.5678
2014/06/18,17:18:45.426,4587.45125
2014/06/18,17:18:45.536,3724.38231
2014/06/18,17:18:45.646,8062.12166
2014/06/18,17:18:45.756,7180.19048
2014/06/18,17:18:45.866,1341.31927
2014/06/18,17:18:45.976,1524.1102
2014/06/18,17:18:46.086,1413.07075
2014/06/18,17:18:46.196,1412.61361
2014/06/18,17:18:46.306,1638.83379
2014/06/18,17:18:46.416,1527.99773
2014/06/18,17:18:46.526,1597.96122
2014/06/18,17:18:46.626,2055.09206
2014/06/18,17:18:46.736,1563.24875
2014/06/18,17:18:46.846,1425.39036
2014/06/18,17:18:46.956,1420.18617
2014/06/18,17:18:47.066,1459.50045
2014/06/18,17:18:47.176,1516.83288
2014/06/18,17:18:47.286,1615.12993
2014/06/18,17:18:47.396,1624.05397
2014/06/18,17:18:47.506,1459.78163
2014/06/18,17:18:47.616,1454.839
2014/06/18,17:18:47.726,1398.12925
2014/06/18,17:18:47.836,1464.52698
2014/06/18,17:18:47.936,1557.55556
2014/06/18,17:18:48.046,1493.16655
2014/06/18,17:18:48.156,1707.52721
2014/06/18,17:18:48.266,7913.29138
2014/06/18,17:18:48.376,10968.71587
2014/06/18,17:18:48.486,6380.87347
2014/06/18,17:18:48.596,1716.18073
2014/06/18,17:18:48.706,1661.6449
2014/06/18,17:18:48.816,1748.8254
2014/06/18,17:18:48.926,1628.71111
2014/06/18,17:18:49.036,1420.47279
2014/06/18,17:18:49.146,4828.1042
2014/06/18,17:18:49.256,14677.31111
2014/06/18,17:18:49.356,8458.22449
2014/06/18,17:18:49.466,1707.6288
2014/06/18,17:18:49.576,1586.54694
2014/06/18,17:18:49.686,2103.57687
2014/06/18,17:18:49.796,1773.86961
2014/06/18,17:18:49.906,1676.96009
2014/06/18,17:18:50.016,1627.75646
2014/06/18,17:18:50.126,4348.52857
2014/06/18,17:18:50.236,17733.65011
2014/06/18,17:18:50.346,5200.45272
2014/06/18,17:18:50.456,4408.32948
2014/06/18,17:18:50.566,1629.86168
2014/06/18,17:18:50.666,10953.82449
2014/06/18,17:18:50.776,5704.05034
2014/06/18,17:18:50.886,12094.0551
2014/06/18,17:18:50.996,4053.22834
2014/06/18,17:18:51.106,6820.239
2014/06/18,17:18:51.216,6123.85306
2014/06/18,17:18:51.326,7196.739
2014/06/18,17:18:51.436,8956.71429
2014/06/18,17:18:51.546,5319.76905
2014/06/18,17:18:51.656,1573.12902
2014/06/18,17:18:51.766,1786.32902
2014/06/18,17:18:51.876,1621.63016
2014/06/18,17:18:51.986,1725.96599
2014/06/18,17:18:52.086,1984.85896
2014/06/18,17:18:52.196,1613.22472
2014/06/18,17:18:52.306,1630.15374
2014/06/18,17:18:52.416,1667.53719
2014/06/18,17:18:52.526,1674.44172
2014/06/18,17:18:52.636,1952.50703
2014/06/18,17:18:52.746,1451.04524
2014/06/18,17:18:52.856,1569.59977
2014/06/18,17:18:52.966,1701.35397
2014/06/18,17:18:53.076,1829.93764
2014/06/18,17:18:53.186,1606.522
2014/06/18,17:18:53.296,1460.08662
2014/06/18,17:18:53.396,1449.31383
2014/06/18,17:18:53.506,1477.77959
2014/06/18,17:18:53.616,1532.53787
2014/06/18,17:18:53.726,1454.45261
2014/06/18,17:18:53.836,1582.99546
2014/06/18,17:18:53.946,1981.04059
2014/06/18,17:18:54.056,2104.23379
2014/06/18,17:18:54.166,1857.83424
2014/06/18,17:18:54.276,1920.36621
2014/06/18,17:18:54.386,1644.44739
2014/06/18,17:18:54.496,1595.2254
2014/06/18,17:18:54.606,1727.24921
2014/06/18,17:18:54.716,1888.76327
2014/06/18,17:18:54.816,1666.37098
2014/06/18,17:18:54.926,1427.10703
2014/06/18,17:18:55.036,1582.46689
2014/06/18,17:18:55.156,1488.65998
2014/06/18,17:18:55.276,1489.58957
2014/06/18,17:18:55.386,1610.5907
2014/06/18,17:18:55.496,1836.48141
2014/06/18,17:18:55.596,2189.35669
2014/06/18,17:18:55.706,1991.03424
2014/06/18,17:18:55.816,1939.37211
2014/06/18,17:18:55.926,1592.56939
2014/06/18,17:18:56.036,1679.38912
2014/06/18,17:18:56.146,1458.11361
2014/06/18,17:18:56.256,1382.41791
2014/06/18,17:18:56.366,1674.08503
2014/06/18,17:18:56.476,1449.91383
2014/06/18,17:18:56.586,1559.33039
2014/06/18,17:18:56.696,1575.33855
2014/06/18,17:18:56.806,1488.79887
